x,y
30.525000000000002,34
32.375,29
34.225,29
36.074999999999996,24
37.925,21
39.775,23
41.625,19
43.475,25
45.325,12
47.175,16
49.025,15
50.875,19
52.725,14
54.575,12
56.425,13
58.275,9
60.125,6
61.975,6
63.825,8
65.675,6
67.525,6
69.375,5
71.225,4
73.075,5
74.925,1
76.775,4
78.625,3
80.475,1
82.325,3
84.175,4
86.025,3
87.875,5
89.72500000000001,2
91.575,6
93.425,4
95.275,4
97.125,2
98.97500000000001,3
100.825,1
104.525,1
108.22500000000001,3
110.075,1
111.925,2
117.47500000000001,2
121.175,1
124.875,1
126.72500000000001,1
130.425,1
135.97500000000002,1
137.82500000000002,2
139.675,3
143.37500000000003,1
145.22500000000002,1
150.775,3
165.57500000000002,1
167.425,1
171.12500000000003,1
178.52500000000003,1
189.62500000000003,1
200.72500000000002,6
